Library,Group,Version,License
antlr,antlr,2.7.7,BSD-3-Clause
aopalliance,aopalliance,1,
asm-attrs,asm,2.2.3,BSD-3-Clause
cglib-nodep,cglib,2.2,Apache-2.0
migbase64,com.brsanthu,2.2,BSD-2-Clause
xapool,com.experlog,1.6.beta-ti,
jackson-annotations,com.fasterxml.jackson.core,2.14.0,Apache-2.0
jackson-core,com.fasterxml.jackson.core,2.14.0,Apache-2.0
jackson-databind,com.fasterxml.jackson.core,2.14.0,Apache-2.0
jackson-datatype-joda,com.fasterxml.jackson.datatype,2.14.0,Apache-2.0
jackson-jaxrs-base,com.fasterxml.jackson.jaxrs,2.14.0,Apache-2.0
jackson-jaxrs-json-provider,com.fasterxml.jackson.jaxrs,2.14.0,Apache-2.0
jackson-module-jaxb-annotations,com.fasterxml.jackson.module,2.14.0,Apache-2.0
classmate,com.fasterxml,1.5.1,Apache-2.0
swift,com.finastra.fpm.csm,2020.7-SNAPSHOT,
jpedal,com.github.codemonstur,4.49b22,LGPL-2.1-only
jcip-annotations,com.github.stephenc.jcip,1.0-1,Apache-2.0
gson,com.google.code.gson,2.10.1,Apache-2.0
failureaccess,com.google.guava,1.0.1,Apache-2.0
guava,com.google.guava,32.1.3-jre,Apache-2.0
jfreechart,com.guicedee.services,1.0.13,GPL-3.0
collate,com.ibm.icu,74.1,
core,com.ibm.icu,74.1,
currdata,com.ibm.icu,74.1,
icu4j,com.ibm.icu,74.1,
langdata,com.ibm.icu,74.1,
regiondata,com.ibm.icu,74.1,
translit,com.ibm.icu,74.1,
scriptella-core,com.javaforge.scriptella,1.2,Apache-2.0
scriptella-drivers,com.javaforge.scriptella,1.2,Apache-2.0
disruptor,com.lmax,3.4.4,Apache-2.0
nimbus-jose-jwt,com.nimbusds,9.39,Apache-2.0
jersey-client,com.sun.jersey,1.19.1,"CDDL-1.1, GPL-2.0-with-classpath-exception"
jersey-core,com.sun.jersey,1.19.1,"CDDL-1.1, GPL-2.0-with-classpath-exception"
jersey-json,com.sun.jersey,1.19.1,"CDDL-1.1, GPL-2.0-with-classpath-exception"
jersey-server,com.sun.jersey,1.19.1,"CDDL-1.1, GPL-2.0-with-classpath-exception"
jersey-servlet,com.sun.jersey,1.19.1,"CDDL-1.1, GPL-2.0-with-classpath-exception"
jaxb-impl,com.sun.xml.bind,2.1.5,"CDDL-1.1, GPL-2.0-with-classpath-exception"
commons-beanutils,commons-beanutils,1.9.4,Apache-2.0
commons-codec,commons-codec,1.15,Apache-2.0
commons-collections,commons-collections,3.2.2,Apache-2.0
commons-configuration,commons-configuration,1.1,Apache-2.0
commons-fileupload,commons-fileupload,1.5,Apache-2.0
